CustomerID,PurchaseCount,FrequencyCategory
12346,1,Low Frequency
12347,7,High Frequency
12348,4,Low Frequency
12349,1,Low Frequency
12350,1,Low Frequency
12352,8,High Frequency
12353,1,Low Frequency
12354,1,Low Frequency
12355,1,Low Frequency
12356,3,Low Frequency
12357,1,Low Frequency
12358,2,Low Frequency
12359,4,Low Frequency
12360,3,Low Frequency
12361,1,Low Frequency
12362,10,High Frequency
12363,2,Low Frequency
12364,4,Low Frequency
12365,2,Low Frequency
12367,1,Low Frequency
12370,4,Low Frequency
12371,2,Low Frequency
12372,3,Low Frequency
12373,1,Low Frequency
12374,1,Low Frequency
12375,2,Low Frequency
12377,2,Low Frequency
12378,1,Low Frequency
12379,2,Low Frequency
12380,4,Low Frequency
12381,5,Low Frequency
12383,5,Low Frequency
12384,2,Low Frequency
12386,2,Low Frequency
12388,6,High Frequency
12390,1,Low Frequency
12391,1,Low Frequency
12393,4,Low Frequency
12394,2,Low Frequency
12395,12,High Frequency
12397,2,Low Frequency
12398,1,Low Frequency
12399,4,Low Frequency
12401,1,Low Frequency
12402,1,Low Frequency
12403,1,Low Frequency
12405,1,Low Frequency
12406,2,Low Frequency
12407,5,Low Frequency
12408,5,Low Frequency
12409,3,Low Frequency
12410,2,Low Frequency
12412,3,Low Frequency
12413,3,Low Frequency
12414,3,Low Frequency
12415,21,High Frequency
12417,9,High Frequency
12418,1,Low Frequency
12420,1,Low Frequency
12421,4,Low Frequency
12422,3,Low Frequency
12423,8,High Frequency
12424,2,Low Frequency
12425,1,Low Frequency
12426,1,Low Frequency
12427,3,Low Frequency
12428,9,High Frequency
12429,4,Low Frequency
12430,1,Low Frequency
12431,15,High Frequency
12432,5,Low Frequency
12433,7,High Frequency
12434,2,Low Frequency
12435,2,Low Frequency
12436,1,Low Frequency
12437,18,High Frequency
12438,2,Low Frequency
12441,1,Low Frequency
12442,1,Low Frequency
12444,5,Low Frequency
12445,1,Low Frequency
12446,1,Low Frequency
12447,1,Low Frequency
12448,1,Low Frequency
12449,4,Low Frequency
12450,2,Low Frequency
12451,5,Low Frequency
12452,2,Low Frequency
12453,1,Low Frequency
12454,1,Low Frequency
12455,6,High Frequency
12456,3,Low Frequency
12457,7,High Frequency
12458,2,Low Frequency
12461,2,Low Frequency
12462,2,Low Frequency
12463,4,Low Frequency
12464,8,High Frequency
12465,2,Low Frequency
12468,2,Low Frequency
12471,30,High Frequency
12472,7,High Frequency
12473,5,Low Frequency
12474,18,High Frequency
12475,1,Low Frequency
12476,11,High Frequency
12477,6,High Frequency
12478,1,Low Frequency
12479,1,Low Frequency
12480,4,Low Frequency
12481,10,High Frequency
12483,8,High Frequency
12484,6,High Frequency
12488,3,Low Frequency
12489,1,Low Frequency
12490,10,High Frequency
12491,1,Low Frequency
12492,2,Low Frequency
12493,2,Low Frequency
12494,7,High Frequency
12497,1,Low Frequency
12498,3,Low Frequency
12500,11,High Frequency
12501,1,Low Frequency
12502,5,Low Frequency
12504,2,Low Frequency
12506,1,Low Frequency
12507,3,Low Frequency
12508,2,Low Frequency
12509,1,Low Frequency
12510,2,Low Frequency
12512,2,Low Frequency
12513,1,Low Frequency
12514,1,Low Frequency
12515,1,Low Frequency
12516,2,Low Frequency
12517,5,Low Frequency
12518,5,Low Frequency
12519,1,Low Frequency
12520,5,Low Frequency
12521,1,Low Frequency
12522,2,Low Frequency
12523,11,High Frequency
12524,8,High Frequency
12526,3,Low Frequency
12527,3,Low Frequency
12528,6,High Frequency
12530,4,Low Frequency
12531,1,Low Frequency
12532,1,Low Frequency
12534,1,Low Frequency
12535,2,Low Frequency
12536,3,Low Frequency
12538,1,Low Frequency
12539,4,Low Frequency
12540,17,High Frequency
12541,3,Low Frequency
12544,1,Low Frequency
12545,2,Low Frequency
12546,2,Low Frequency
12547,2,Low Frequency
12548,1,Low Frequency
12550,1,Low Frequency
12551,1,Low Frequency
12552,2,Low Frequency
12553,10,High Frequency
12556,2,Low Frequency
12557,5,Low Frequency
12558,1,Low Frequency
12559,2,Low Frequency
12560,3,Low Frequency
12561,1,Low Frequency
12562,7,High Frequency
12564,1,Low Frequency
12565,1,Low Frequency
12566,1,Low Frequency
12567,10,High Frequency
12569,32,High Frequency
12571,2,Low Frequency
12572,2,Low Frequency
12573,1,Low Frequency
12574,1,Low Frequency
12576,5,Low Frequency
12577,3,Low Frequency
12578,2,Low Frequency
12579,1,Low Frequency
12580,1,Low Frequency
12581,1,Low Frequency
12582,2,Low Frequency
12583,15,High Frequency
12584,9,High Frequency
12585,2,Low Frequency
12586,1,Low Frequency
12587,1,Low Frequency
12588,1,Low Frequency
12589,2,Low Frequency
12590,2,Low Frequency
12591,1,Low Frequency
12592,2,Low Frequency
12593,3,Low Frequency
12594,10,High Frequency
12596,2,Low Frequency
12597,4,Low Frequency
12598,8,High Frequency
12599,7,High Frequency
12600,10,High Frequency
12601,5,Low Frequency
12602,1,Low Frequency
12603,1,Low Frequency
12604,2,Low Frequency
12607,1,Low Frequency
12609,3,Low Frequency
12610,5,Low Frequency
12611,1,Low Frequency
12612,1,Low Frequency
12613,5,Low Frequency
12614,1,Low Frequency
12615,4,Low Frequency
12616,2,Low Frequency
12617,1,Low Frequency
12618,1,Low Frequency
12619,9,High Frequency
12620,3,Low Frequency
12621,20,High Frequency
12622,1,Low Frequency
12623,1,Low Frequency
12624,2,Low Frequency
12625,2,Low Frequency
12626,9,High Frequency
12627,7,High Frequency
12628,3,Low Frequency
12630,2,Low Frequency
12631,1,Low Frequency
12633,4,Low Frequency
12635,2,Low Frequency
12637,8,High Frequency
12638,1,Low Frequency
12639,1,Low Frequency
12640,3,Low Frequency
12641,1,Low Frequency
12642,3,Low Frequency
12643,6,High Frequency
12644,1,Low Frequency
12645,4,Low Frequency
12646,2,Low Frequency
12647,12,High Frequency
12648,1,Low Frequency
12649,3,Low Frequency
12650,1,Low Frequency
12651,1,Low Frequency
12652,1,Low Frequency
12653,2,Low Frequency
12654,5,Low Frequency
12656,5,Low Frequency
12657,4,Low Frequency
12658,1,Low Frequency
12659,1,Low Frequency
12660,1,Low Frequency
12662,11,High Frequency
12664,9,High Frequency
12665,1,Low Frequency
12667,1,Low Frequency
12668,4,Low Frequency
12669,3,Low Frequency
12670,5,Low Frequency
12672,1,Low Frequency
12673,2,Low Frequency
12674,4,Low Frequency
12676,6,High Frequency
12678,12,High Frequency
12679,4,Low Frequency
12680,4,Low Frequency
12681,22,High Frequency
12682,31,High Frequency
12683,15,High Frequency
12684,7,High Frequency
12685,6,High Frequency
12686,1,Low Frequency
12688,1,Low Frequency
12689,2,Low Frequency
12690,1,Low Frequency
12691,6,High Frequency
12693,4,Low Frequency
12694,2,Low Frequency
12695,4,Low Frequency
12697,3,Low Frequency
12700,4,Low Frequency
12701,2,Low Frequency
12702,1,Low Frequency
12703,1,Low Frequency
12704,8,High Frequency
12705,9,High Frequency
12707,1,Low Frequency
12708,10,High Frequency
12709,15,High Frequency
12710,3,Low Frequency
12712,13,High Frequency
12713,1,Low Frequency
12714,5,Low Frequency
12715,1,Low Frequency
12716,2,Low Frequency
12717,2,Low Frequency
12718,1,Low Frequency
12719,2,Low Frequency
12720,25,High Frequency
12721,6,High Frequency
12722,4,Low Frequency
12723,5,Low Frequency
12724,4,Low Frequency
12725,1,Low Frequency
12726,7,High Frequency
12727,7,High Frequency
12728,4,Low Frequency
12729,1,Low Frequency
12731,12,High Frequency
12732,1,Low Frequency
12733,1,Low Frequency
12734,1,Low Frequency
12735,2,Low Frequency
12736,1,Low Frequency
12738,1,Low Frequency
12739,2,Low Frequency
12740,1,Low Frequency
12743,2,Low Frequency
12744,7,High Frequency
12747,11,High Frequency
12748,209,High Frequency
12749,5,Low Frequency
12750,1,Low Frequency
12752,1,Low Frequency
12753,6,High Frequency
12754,3,Low Frequency
12755,2,Low Frequency
12756,1,Low Frequency
12757,13,High Frequency
12758,2,Low Frequency
12759,3,Low Frequency
12762,2,Low Frequency
12763,2,Low Frequency
12764,1,Low Frequency
12766,7,High Frequency
12769,1,Low Frequency
12770,1,Low Frequency
12772,1,Low Frequency
12775,5,Low Frequency
12778,6,High Frequency
12779,8,High Frequency
12781,2,Low Frequency
12782,5,Low Frequency
12783,6,High Frequency
12784,2,Low Frequency
12785,1,Low Frequency
12787,3,Low Frequency
12789,1,Low Frequency
12790,1,Low Frequency
12791,1,Low Frequency
12792,1,Low Frequency
12793,2,Low Frequency
12794,2,Low Frequency
12795,1,Low Frequency
12797,1,Low Frequency
12798,3,Low Frequency
12802,1,Low Frequency
12808,3,Low Frequency
12809,1,Low Frequency
12811,3,Low Frequency
12812,1,Low Frequency
12814,1,Low Frequency
12815,2,Low Frequency
12816,2,Low Frequency
12817,1,Low Frequency
12818,1,Low Frequency
12820,4,Low Frequency
12821,1,Low Frequency
12822,2,Low Frequency
12823,5,Low Frequency
12824,1,Low Frequency
12826,7,High Frequency
12827,3,Low Frequency
12828,6,High Frequency
12829,2,Low Frequency
12830,6,High Frequency
12831,1,Low Frequency
12832,2,Low Frequency
12833,1,Low Frequency
12834,1,Low Frequency
12836,4,Low Frequency
12837,1,Low Frequency
12838,2,Low Frequency
12839,14,High Frequency
12840,4,Low Frequency
12841,25,High Frequency
12842,2,Low Frequency
12843,8,High Frequency
12844,2,Low Frequency
12845,4,Low Frequency
12847,1,Low Frequency
12849,2,Low Frequency
12851,1,Low Frequency
12852,1,Low Frequency
12853,6,High Frequency
12854,3,Low Frequency
12855,1,Low Frequency
12856,6,High Frequency
12857,2,Low Frequency
12863,1,Low Frequency
12864,1,Low Frequency
12865,2,Low Frequency
12866,1,Low Frequency
12867,7,High Frequency
12868,6,High Frequency
12871,2,Low Frequency
12872,2,Low Frequency
12873,1,Low Frequency
12875,2,Low Frequency
12876,2,Low Frequency
12877,12,High Frequency
12878,2,Low Frequency
12879,3,Low Frequency
12881,1,Low Frequency
12882,2,Low Frequency
12883,4,Low Frequency
12884,1,Low Frequency
12885,3,Low Frequency
12886,2,Low Frequency
12888,2,Low Frequency
12890,1,Low Frequency
12891,3,Low Frequency
12893,1,Low Frequency
12895,2,Low Frequency
12897,2,Low Frequency
12901,28,High Frequency
12902,1,Low Frequency
12904,2,Low Frequency
12906,5,Low Frequency
12908,2,Low Frequency
12909,5,Low Frequency
12910,8,High Frequency
12912,5,Low Frequency
12913,5,Low Frequency
12915,2,Low Frequency
12916,4,Low Frequency
12917,1,Low Frequency
12919,6,High Frequency
12920,1,Low Frequency
12921,37,High Frequency
12922,1,Low Frequency
12923,1,Low Frequency
12924,4,Low Frequency
12925,2,Low Frequency
12928,5,Low Frequency
12929,1,Low Frequency
12930,2,Low Frequency
12931,15,High Frequency
12933,3,Low Frequency
12935,7,High Frequency
12936,4,Low Frequency
12937,4,Low Frequency
12938,1,Low Frequency
12939,8,High Frequency
12940,2,Low Frequency
12942,3,Low Frequency
12944,2,Low Frequency
12945,1,Low Frequency
12947,6,High Frequency
12948,7,High Frequency
12949,8,High Frequency
12950,3,Low Frequency
12951,6,High Frequency
12952,4,Low Frequency
12953,1,Low Frequency
12955,11,High Frequency
12956,1,Low Frequency
12957,8,High Frequency
12962,2,Low Frequency
12963,8,High Frequency
12965,1,Low Frequency
12966,1,Low Frequency
12967,2,Low Frequency
12968,1,Low Frequency
12970,4,Low Frequency
12971,86,High Frequency
12974,1,Low Frequency
12976,1,Low Frequency
12977,1,Low Frequency
12980,9,High Frequency
12981,2,Low Frequency
12982,1,Low Frequency
12984,1,Low Frequency
12985,2,Low Frequency
12987,2,Low Frequency
12988,1,Low Frequency
12989,15,High Frequency
12990,3,Low Frequency
12991,2,Low Frequency
12993,4,Low Frequency
12994,3,Low Frequency
12995,1,Low Frequency
12997,4,Low Frequency
12999,3,Low Frequency
13000,3,Low Frequency
13001,13,High Frequency
13002,1,Low Frequency
13003,3,Low Frequency
13004,18,High Frequency
13005,2,Low Frequency
13006,1,Low Frequency
13008,1,Low Frequency
13011,1,Low Frequency
13012,8,High Frequency
13013,13,High Frequency
13014,10,High Frequency
13015,5,Low Frequency
13016,3,Low Frequency
13017,1,Low Frequency
13018,28,High Frequency
13021,9,High Frequency
13023,2,Low Frequency
13026,5,Low Frequency
13027,6,High Frequency
13028,2,Low Frequency
13029,3,Low Frequency
13030,2,Low Frequency
13032,2,Low Frequency
13033,1,Low Frequency
13034,2,Low Frequency
13035,2,Low Frequency
13037,3,Low Frequency
13038,3,Low Frequency
13040,2,Low Frequency
13043,1,Low Frequency
13044,1,Low Frequency
13045,1,Low Frequency
13046,2,Low Frequency
13047,10,High Frequency
13048,4,Low Frequency
13049,2,Low Frequency
13050,17,High Frequency
13052,1,Low Frequency
13055,3,Low Frequency
13058,3,Low Frequency
13059,1,Low Frequency
13060,1,Low Frequency
13061,1,Low Frequency
13062,1,Low Frequency
13064,4,Low Frequency
13065,1,Low Frequency
13066,2,Low Frequency
13067,1,Low Frequency
13068,2,Low Frequency
13069,24,High Frequency
13070,1,Low Frequency
13072,1,Low Frequency
13075,1,Low Frequency
13077,4,Low Frequency
13078,26,High Frequency
13079,5,Low Frequency
13080,1,Low Frequency
13081,11,High Frequency
13082,9,High Frequency
13083,2,Low Frequency
13085,2,Low Frequency
13089,97,High Frequency
13090,14,High Frequency
13091,1,Low Frequency
13092,5,Low Frequency
13093,8,High Frequency
13094,12,High Frequency
13095,1,Low Frequency
13097,10,High Frequency
13098,28,High Frequency
13099,1,Low Frequency
13101,1,Low Frequency
13102,24,High Frequency
13103,1,Low Frequency
13104,6,High Frequency
13106,1,Low Frequency
13107,4,Low Frequency
13108,1,Low Frequency
13109,2,Low Frequency
13110,7,High Frequency
13113,24,High Frequency
13115,4,Low Frequency
13116,1,Low Frequency
13117,8,High Frequency
13118,5,Low Frequency
13120,1,Low Frequency
13121,1,Low Frequency
13122,2,Low Frequency
13124,3,Low Frequency
13126,8,High Frequency
13127,1,Low Frequency
13130,1,Low Frequency
13131,3,Low Frequency
13132,1,Low Frequency
13133,2,Low Frequency
13134,4,Low Frequency
13135,1,Low Frequency
13136,5,Low Frequency
13137,8,High Frequency
13138,6,High Frequency
13139,7,High Frequency
13140,3,Low Frequency
13141,5,Low Frequency
13142,1,Low Frequency
13144,1,Low Frequency
13145,4,Low Frequency
13146,1,Low Frequency
13147,4,Low Frequency
13148,12,High Frequency
13149,4,Low Frequency
13151,1,Low Frequency
13153,1,Low Frequency
13155,4,Low Frequency
13157,4,Low Frequency
13158,4,Low Frequency
13159,4,Low Frequency
13160,1,Low Frequency
13161,1,Low Frequency
13162,4,Low Frequency
13165,2,Low Frequency
13166,1,Low Frequency
13167,4,Low Frequency
13168,4,Low Frequency
13169,2,Low Frequency
13170,1,Low Frequency
13171,3,Low Frequency
13173,2,Low Frequency
13174,3,Low Frequency
13176,1,Low Frequency
13177,1,Low Frequency
13178,11,High Frequency
13182,1,Low Frequency
13183,9,High Frequency
13184,10,High Frequency
13185,1,Low Frequency
13186,3,Low Frequency
13187,1,Low Frequency
13188,1,Low Frequency
13189,2,Low Frequency
13192,2,Low Frequency
13193,1,Low Frequency
13194,1,Low Frequency
13196,4,Low Frequency
13198,6,High Frequency
13199,38,High Frequency
13200,4,Low Frequency
13203,4,Low Frequency
13207,2,Low Frequency
13208,6,High Frequency
13209,8,High Frequency
13210,1,Low Frequency
13211,3,Low Frequency
13212,3,Low Frequency
13213,5,Low Frequency
13216,1,Low Frequency
13217,3,Low Frequency
13218,1,Low Frequency
13220,4,Low Frequency
13221,2,Low Frequency
13223,2,Low Frequency
13224,2,Low Frequency
13225,7,High Frequency
13226,1,Low Frequency
13227,1,Low Frequency
13228,1,Low Frequency
13229,1,Low Frequency
13230,14,High Frequency
13232,7,High Frequency
13233,2,Low Frequency
13235,1,Low Frequency
13236,2,Low Frequency
13238,4,Low Frequency
13239,1,Low Frequency
13240,4,Low Frequency
13242,3,Low Frequency
13243,1,Low Frequency
13244,1,Low Frequency
13245,1,Low Frequency
13246,6,High Frequency
13247,4,Low Frequency
13248,2,Low Frequency
13249,3,Low Frequency
13253,2,Low Frequency
13255,2,Low Frequency
13258,3,Low Frequency
13259,1,Low Frequency
13260,1,Low Frequency
13261,2,Low Frequency
13262,1,Low Frequency
13263,35,High Frequency
13265,5,Low Frequency
13266,12,High Frequency
13267,19,High Frequency
13268,11,High Frequency
13269,15,High Frequency
13270,1,Low Frequency
13271,1,Low Frequency
13272,2,Low Frequency
13273,1,Low Frequency
13276,2,Low Frequency
13277,4,Low Frequency
13278,1,Low Frequency
13279,1,Low Frequency
13280,3,Low Frequency
13282,3,Low Frequency
13283,2,Low Frequency
13284,1,Low Frequency
13285,4,Low Frequency
13291,1,Low Frequency
13292,2,Low Frequency
13294,2,Low Frequency
13295,1,Low Frequency
13296,1,Low Frequency
13297,4,Low Frequency
13298,1,Low Frequency
13299,1,Low Frequency
13300,1,Low Frequency
13301,4,Low Frequency
13302,1,Low Frequency
13304,1,Low Frequency
13305,10,High Frequency
13307,1,Low Frequency
13308,3,Low Frequency
13309,5,Low Frequency
13310,3,Low Frequency
13311,2,Low Frequency
13313,5,Low Frequency
13314,3,Low Frequency
13316,4,Low Frequency
13317,6,High Frequency
13318,3,Low Frequency
13319,26,High Frequency
13320,4,Low Frequency
13321,2,Low Frequency
13322,1,Low Frequency
13323,5,Low Frequency
13324,10,High Frequency
13325,1,Low Frequency
13327,8,High Frequency
13328,1,Low Frequency
13329,2,Low Frequency
13330,3,Low Frequency
13332,1,Low Frequency
13334,3,Low Frequency
13336,1,Low Frequency
13338,1,Low Frequency
13339,1,Low Frequency
13340,7,High Frequency
13341,1,Low Frequency
13343,1,Low Frequency
13344,3,Low Frequency
13345,1,Low Frequency
13347,1,Low Frequency
13348,1,Low Frequency
13349,1,Low Frequency
13350,2,Low Frequency
13351,1,Low Frequency
13352,1,Low Frequency
13354,1,Low Frequency
13355,1,Low Frequency
13356,1,Low Frequency
13357,1,Low Frequency
13358,1,Low Frequency
13359,1,Low Frequency
13362,4,Low Frequency
13363,2,Low Frequency
13364,1,Low Frequency
13365,2,Low Frequency
13366,1,Low Frequency
13368,2,Low Frequency
13369,1,Low Frequency
13370,1,Low Frequency
13372,1,Low Frequency
13373,3,Low Frequency
13375,1,Low Frequency
13376,3,Low Frequency
13379,3,Low Frequency
13381,6,High Frequency
13382,1,Low Frequency
13384,7,High Frequency
13385,1,Low Frequency
13388,2,Low Frequency
13389,3,Low Frequency
13390,1,Low Frequency
13391,1,Low Frequency
13394,8,High Frequency
13395,1,Low Frequency
13396,2,Low Frequency
13397,5,Low Frequency
13398,1,Low Frequency
13402,2,Low Frequency
13403,1,Low Frequency
13404,2,Low Frequency
13405,3,Low Frequency
13408,62,High Frequency
13410,5,Low Frequency
13411,1,Low Frequency
13414,3,Low Frequency
13416,2,Low Frequency
13417,2,Low Frequency
13418,18,High Frequency
13419,1,Low Frequency
13420,2,Low Frequency
13421,2,Low Frequency
13422,1,Low Frequency
13425,3,Low Frequency
13426,10,High Frequency
13427,3,Low Frequency
13428,1,Low Frequency
13429,4,Low Frequency
13430,2,Low Frequency
13431,2,Low Frequency
13434,2,Low Frequency
13435,7,High Frequency
13436,1,Low Frequency
13437,7,High Frequency
13439,1,Low Frequency
13441,1,Low Frequency
13447,3,Low Frequency
13448,6,High Frequency
13449,1,Low Frequency
13450,6,High Frequency
13451,5,Low Frequency
13452,2,Low Frequency
13453,2,Low Frequency
13455,2,Low Frequency
13456,6,High Frequency
13458,14,High Frequency
13460,2,Low Frequency
13461,3,Low Frequency
13462,1,Low Frequency
13464,1,Low Frequency
13466,1,Low Frequency
13467,2,Low Frequency
13468,37,High Frequency
13470,2,Low Frequency
13471,4,Low Frequency
13473,2,Low Frequency
13474,1,Low Frequency
13475,4,Low Frequency
13476,2,Low Frequency
13477,6,High Frequency
13479,2,Low Frequency
13481,5,Low Frequency
13482,1,Low Frequency
13483,1,Low Frequency
13484,1,Low Frequency
13485,1,Low Frequency
13486,3,Low Frequency
13487,3,Low Frequency
13488,13,High Frequency
13489,4,Low Frequency
13491,10,High Frequency
13492,3,Low Frequency
13493,2,Low Frequency
13494,1,Low Frequency
13495,5,Low Frequency
13496,2,Low Frequency
13497,2,Low Frequency
13499,5,Low Frequency
13500,3,Low Frequency
13501,1,Low Frequency
13502,3,Low Frequency
13503,1,Low Frequency
13504,1,Low Frequency
13505,4,Low Frequency
13506,2,Low Frequency
13507,4,Low Frequency
13508,1,Low Frequency
13509,7,High Frequency
13510,4,Low Frequency
13512,1,Low Frequency
13513,1,Low Frequency
13514,1,Low Frequency
13515,4,Low Frequency
13516,3,Low Frequency
13517,3,Low Frequency
13518,1,Low Frequency
13519,1,Low Frequency
13520,6,High Frequency
13521,3,Low Frequency
13522,1,Low Frequency
13523,5,Low Frequency
13524,5,Low Frequency
13525,2,Low Frequency
13527,7,High Frequency
13529,2,Low Frequency
13531,2,Low Frequency
13532,1,Low Frequency
13533,3,Low Frequency
13534,25,High Frequency
13536,7,High Frequency
13538,7,High Frequency
13539,3,Low Frequency
13544,2,Low Frequency
13546,3,Low Frequency
13548,2,Low Frequency
13549,7,High Frequency
13551,1,Low Frequency
13552,12,High Frequency
13555,4,Low Frequency
13557,2,Low Frequency
13558,4,Low Frequency
13560,1,Low Frequency
13561,1,Low Frequency
13562,3,Low Frequency
13563,2,Low Frequency
13564,3,Low Frequency
13565,2,Low Frequency
13566,2,Low Frequency
13568,1,Low Frequency
13569,2,Low Frequency
13570,1,Low Frequency
13571,12,High Frequency
13572,1,Low Frequency
13573,2,Low Frequency
13575,5,Low Frequency
13576,18,High Frequency
13577,4,Low Frequency
13579,2,Low Frequency
13581,1,Low Frequency
13583,1,Low Frequency
13584,1,Low Frequency
13587,1,Low Frequency
13588,9,High Frequency
13589,2,Low Frequency
13590,6,High Frequency
13591,3,Low Frequency
13592,4,Low Frequency
13593,5,Low Frequency
13594,1,Low Frequency
13596,2,Low Frequency
13598,1,Low Frequency
13599,21,High Frequency
13600,1,Low Frequency
13601,2,Low Frequency
13602,1,Low Frequency
13603,1,Low Frequency
13606,3,Low Frequency
13607,1,Low Frequency
13610,7,High Frequency
13611,3,Low Frequency
13614,4,Low Frequency
13615,1,Low Frequency
13617,3,Low Frequency
13618,1,Low Frequency
13621,1,Low Frequency
13623,5,Low Frequency
13626,1,Low Frequency
13627,5,Low Frequency
13629,11,High Frequency
13630,7,High Frequency
13631,11,High Frequency
13632,5,Low Frequency
13634,5,Low Frequency
13635,1,Low Frequency
13636,5,Low Frequency
13637,3,Low Frequency
13638,1,Low Frequency
13639,1,Low Frequency
13642,1,Low Frequency
13643,3,Low Frequency
13644,4,Low Frequency
13645,1,Low Frequency
13647,4,Low Frequency
13649,2,Low Frequency
13650,6,High Frequency
13651,2,Low Frequency
13652,3,Low Frequency
13654,6,High Frequency
13655,2,Low Frequency
13656,2,Low Frequency
13657,2,Low Frequency
13658,5,Low Frequency
13659,2,Low Frequency
13662,3,Low Frequency
13663,1,Low Frequency
13666,3,Low Frequency
13667,1,Low Frequency
13668,21,High Frequency
13669,2,Low Frequency
13670,1,Low Frequency
13672,2,Low Frequency
13673,2,Low Frequency
13675,2,Low Frequency
13678,1,Low Frequency
13680,4,Low Frequency
13681,4,Low Frequency
13682,1,Low Frequency
13684,1,Low Frequency
13685,7,High Frequency
13686,1,Low Frequency
13689,1,Low Frequency
13690,1,Low Frequency
13692,3,Low Frequency
13694,50,High Frequency
13695,15,High Frequency
13697,1,Low Frequency
13699,1,Low Frequency
13700,10,High Frequency
13703,1,Low Frequency
13704,9,High Frequency
13705,3,Low Frequency
13706,1,Low Frequency
13707,2,Low Frequency
13708,1,Low Frequency
13709,13,High Frequency
13710,1,Low Frequency
13711,2,Low Frequency
13712,1,Low Frequency
13715,5,Low Frequency
13716,1,Low Frequency
13717,6,High Frequency
13718,2,Low Frequency
13719,5,Low Frequency
13720,4,Low Frequency
13721,1,Low Frequency
13722,3,Low Frequency
13723,1,Low Frequency
13725,8,High Frequency
13726,2,Low Frequency
13727,2,Low Frequency
13728,6,High Frequency
13730,2,Low Frequency
13731,2,Low Frequency
13732,1,Low Frequency
13735,4,Low Frequency
13736,2,Low Frequency
13737,1,Low Frequency
13739,1,Low Frequency
13740,1,Low Frequency
13741,3,Low Frequency
13742,12,High Frequency
13743,7,High Frequency
13744,2,Low Frequency
13745,1,Low Frequency
13747,1,Low Frequency
13748,5,Low Frequency
13750,5,Low Frequency
13751,1,Low Frequency
13752,6,High Frequency
13753,1,Low Frequency
13754,2,Low Frequency
13755,9,High Frequency
13756,14,High Frequency
13758,7,High Frequency
13759,2,Low Frequency
13760,2,Low Frequency
13761,2,Low Frequency
13762,1,Low Frequency
13763,1,Low Frequency
13764,3,Low Frequency
13767,37,High Frequency
13769,10,High Frequency
13771,4,Low Frequency
13772,3,Low Frequency
13774,1,Low Frequency
13777,33,High Frequency
13778,1,Low Frequency
13780,2,Low Frequency
13781,1,Low Frequency
13782,6,High Frequency
13784,11,High Frequency
13786,1,Low Frequency
13787,2,Low Frequency
13790,1,Low Frequency
13791,2,Low Frequency
13792,2,Low Frequency
13798,57,High Frequency
13799,2,Low Frequency
13800,1,Low Frequency
13801,1,Low Frequency
13802,3,Low Frequency
13803,1,Low Frequency
13804,7,High Frequency
13805,2,Low Frequency
13806,1,Low Frequency
13807,1,Low Frequency
13808,5,Low Frequency
13809,1,Low Frequency
13810,3,Low Frequency
13811,3,Low Frequency
